I1(Lex) S(gr)	I1(Lex)S(sba)	I1(Grevlex) S(gr)	I1(Grevlex)S(sba)	I2(Lex) S(gr)	I2(Lex)S(sba)	I2(Grevlex) S(gr)	I2(Grevlex)S(sba)	I3(Grevlex) S(gr)	I3(Grevlex)S(sba)
1403	62	512	147	1279	90	405	88	519	219
1428	61	519	146	1271	88	407	89	522	218
1400	62	513	148	1273	89	419	88	521	225
1418	63	510	147	1273	90	408	88	524	220
1402	63	543	146	1271	90	408	88	515	217
1402	61	516	144	1259	90	409	89	513	217
1423	62	514	145	1287	89	412	88	515	218
1402	62	513	144	1260	90	408	87	517	218
1403	63	512	146	1270	93	405	88	530	220
1421	62	546	149	1272	90	421	88	512	219
1401	63	510	144	1256	88	409	88	515	222
1417	63	514	144	1286	89	409	89	515	221
1410	62	509	147	1268	89	411	87	512	221
1403	63	511	147	1278	89	410	87	527	219
1428	62	511	177	1282	90	410	87	517	221
1430	63	511	148	1277	91	406	87	514	219
1427	63	509	146	1277	89	418	88	518	222
1401	63	509	150	1292	90	409	89	516	224
1423	62	509	147	1274	90	407	88	521	222
1405	62	509	146	1260	89	407	89	511	220
1400	63	515	143	1276	89	408	90	512	221
1430	63	512	146	1263	89	410	90	514	220
1421	62	507	148	1281	88	410	88	513	222
1398	62	509	149	1278	89	422	88	510	220
1415	62	506	148	1269	89	403	88	513	224
1418	63	514	146	1279	90	408	88	512	219
1421	66	511	148	1275	88	407	89	515	223
1407	62	511	146	1269	90	406	88	516	225
1396	62	511	146	1269	89	405	87	516	223
1408	63	508	149	1271	89	408	90	516	220
1420	64	514	146	1271	88	428	87	514	223
1421	63	520	145	1288	89	408	88	517	224
1423	62	511	146	1274	90	405	87	516	221
1400	63	518	145	1276	88	407	86	516	226
1427	62	508	148	1271	89	404	87	514	222
1393	63	514	145	1275	89	406	90	513	221
1402	63	552	148	1285	91	411	91	521	218
1430	63	509	150	1261	89	410	89	525	222
1424	62	510	147	1270	90	407	91	513	221
1427	62	510	148	1281	90	408	87	511	220
1401	63	508	145	1271	89	406	87	513	223
1419	62	512	171	1278	89	407	87	516	222
1396	63	511	145	1280	90	409	87	522	219
1396	63	512	148	1274	89	405	91	514	218
1401	84	509	148	1257	95	406	88	519	220
1399	62	508	150	1267	90	407	88	521	223
1415	76	513	149	1272	88	409	88	519	220
1447	62	521	147	1288	89	407	90	520	224
1393	62	510	146	1268	90	408	88	516	222
1392	62	508	148	1266	88	409	88	515	223
1430	64	512	147	1276	89	408	99	516	220
1414	63	512	151	1265	90	411	89	516	219
1430	63	518	148	1269	89	406	90	527	221
1420	63	510	146	1276	89	410	88	511	218
1420	63	512	147	1276	89	408	89	512	220
1447	62	514	149	1253	88	409	89	513	222
1433	62	516	148	1281	89	414	88	517	221
1445	63	512	147	1272	90	409	93	525	220
1400	63	515	149	1274	90	409	88	519	280
1399	63	512	148	1270	90	408	88	511	218
1408	62	516	149	1269	90	408	88	515	224
1420	62	517	148	1276	89	406	88	515	226
1411	63	511	149	1272	89	406	88	513	224
1410	62	519	147	1264	90	406	88	515	224
1400	63	511	148	1267	89	408	89	520	221
1400	63	513	150	1276	89	408	87	518	220
1427	64	514	148	1273	88	408	89	519	231
1399	63	514	148	1278	89	407	90	513	217
1432	63	513	156	1268	90	409	89	514	220
1402	63	516	146	1256	96	411	88	509	222
1424	76	511	149	1271	90	405	88	514	220
1414	62	518	145	1275	88	442	87	524	228
1398	63	513	159	1277	90	406	87	513	222
1405	63	530	146	1257	89	405	89	514	218
1420	61	519	147	1275	89	405	89	515	217
1404	63	515	144	1288	88	407	88	511	219
1403	64	516	146	1277	89	408	89	524	221
1397	62	512	146	1273	91	407	88	518	219
1416	62	514	146	1278	91	449	88	519	219
1402	62	523	145	1285	91	409	89	517	217
1397	63	511	144	1274	89	405	88	523	226
1416	62	511	146	1283	89	408	87	527	217
1403	63	513	143	1259	89	407	89	514	220
1432	62	509	145	1291	90	412	90	515	219
1406	61	514	145	1277	89	409	90	520	217
1404	62	512	144	1278	88	445	89	515	218
1421	63	520	145	1285	89	409	88	525	217
1398	62	520	147	1272	90	407	87	517	218
1429	62	512	145	1272	90	405	88	516	218
1400	63	513	143	1271	90	405	87	517	219
1416	63	522	144	1273	90	406	88	514	220
1418	63	516	149	1269	89	407	89	521	221
1399	61	507	146	1326	89	412	88	519	216
1403	62	512	150	1270	89	410	89	517	218
1394	62	512	146	1257	89	408	87	527	219
1400	62	510	150	1261	88	411	88	518	219
1424	63	511	146	1286	90	410	88	530	222
1421	62	509	147	1289	89	408	87	514	224
1397	63	509	146	1278	91	410	89	516	220
1400	62	508	146	1277	91	448	90	511	218
1399	63	508	146	1268	90	412	89	514	219
1426	63	515	148	1282	91	412	89	516	219
1417	63	512	144	1283	88	406	89	515	220
1396	62	509	145	1292	89	407	88	512	221
1424	62	508	147	1277	87	408	87	518	220
1404	63	506	149	1285	110	406	88	513	218
1425	61	515	146	1275	89	423	88	519	221
1427	63	510	149	1278	90	408	87	517	220
1407	62	509	149	1303	89	405	88	515	222
1428	63	511	146	1266	89	409	89	513	221
1397	62	513	148	1259	103	407	88	518	221
1418	63	512	148	1285	89	408	87	520	225
1421	61	528	145	1274	89	409	89	525	220
1406	63	512	146	1263	89	440	88	515	220
1460	63	514	148	1270	90	407	88	511	220
1418	63	509	147	1280	89	440	90	512	225
1438	75	514	145	1264	90	411	88	515	218
1398	62	519	145	1281	90	405	88	510	221
1399	63	509	146	1258	88	408	88	513	220
1434	62	516	151	1301	89	408	88	514	219
1400	62	510	148	1281	90	439	87	511	227
1412	63	517	152	1267	90	411	88	511	220
1421	63	516	151	1307	90	407	88	514	222
1395	62	518	148	1274	90	408	87	514	220
1402	63	513	146	1276	89	408	88	515	222
1398	62	513	148	1295	89	405	88	514	233
1430	62	516	146	1287	89	409	88	522	217
1403	62	516	148	1258	89	445	88	517	220
1395	62	519	147	1285	89	405	89	520	223
1397	66	513	149	1272	89	407	87	517	221
1419	62	514	149	1260	103	406	89	521	253
1418	63	513	146	1275	89	412	89	509	218
1415	62	515	146	1270	89	411	88	515	220
1416	63	512	149	1279	89	406	87	511	220
1407	62	516	145	1271	89	444	88	512	222
1428	62	512	148	1270	90	410	88	512	232
1418	63	520	145	1296	89	406	88	512	220
1404	62	513	146	1274	90	407	88	515	221
1400	63	513	148	1272	88	407	88	511	220
1410	63	524	146	1284	88	408	90	515	220
1430	62	514	147	1279	91	412	88	516	221
1418	62	511	146	1276	90	448	88	514	223
1415	61	512	148	1279	90	407	88	520	223
1399	62	509	146	1276	89	407	87	516	220
1421	63	511	150	1290	90	404	88	522	219
1408	62	509	148	1253	89	407	88	515	220
1419	62	510	145	1272	89	418	90	514	222
1398	63	512	148	1272	89	409	90	510	220
1406	63	507	146	1272	88	414	90	513	221
1400	62	510	147	1262	90	410	88	511	219
1405	63	514	145	1274	90	405	88	518	224
1424	62	511	147	1271	89	408	87	514	219
1403	62	508	147	1265	89	407	88	513	220
1411	64	540	149	1284	90	404	88	512	223
1404	63	509	145	1251	89	409	88	519	218
1427	62	507	151	1270	89	429	104	534	218
1420	63	508	145	1288	88	408	89	522	220
1419	62	512	144	1268	88	404	87	523	219
1426	62	508	146	1285	90	405	89	519	218
1404	62	509	145	1266	90	406	88	515	223
1405	92	514	144	1264	91	407	87	524	247
1421	63	516	146	1281	91	409	88	514	217
1402	62	509	149	1270	91	437	102	515	218
1415	63	509	148	1254	90	412	89	513	227
1401	61	508	147	1279	89	408	87	517	221
1404	61	510	146	1279	89	406	88	520	220
1429	63	514	149	1273	89	409	88	518	218
1429	63	509	146	1279	89	407	87	516	219
1423	63	509	148	1268	89	406	87	519	215
1421	62	508	146	1263	89	420	87	517	219
1406	63	513	149	1283	103	408	87	521	220
1442	62	510	148	1347	92	408	87	517	222
1402	63	516	145	1296	90	408	87	520	220
1423	62	509	148	1277	91	407	88	518	220
1400	62	503	148	1303	90	409	88	522	221
1397	62	509	147	1297	89	412	88	527	220
1454	62	508	147	1275	88	414	89	513	221
1418	62	506	155	1249	89	410	89	513	219
1395	62	510	146	1283	88	412	89	514	219
1440	62	512	147	1271	89	412	88	516	219
1400	63	509	146	1269	89	411	88	519	220
1432	63	514	158	1312	88	408	88	517	224
1414	62	581	144	1274	89	408	88	513	220
1401	63	519	145	1309	89	451	89	510	224
1446	62	509	148	1276	89	408	88	511	223
1425	61	510	146	1280	89	414	88	522	225
1423	62	513	152	1309	90	408	88	516	219
1400	63	512	146	1267	90	407	89	511	222
1395	63	513	147	1292	89	407	88	513	221
1410	62	510	146	1297	90	407	87	515	222
1400	62	512	149	1259	89	408	87	524	221
1418	62	515	148	1280	89	408	88	517	221
1399	61	513	147	1306	89	406	88	515	221
1403	62	512	147	1270	88	406	88	510	220
1407	62	520	145	1267	90	409	90	512	223
1403	63	513	145	1277	90	410	88	526	221
1405	63	513	145	1279	89	410	88	514	218
1417	62	509	145	1279	89	421	87	512	219
1411	62	513	144	1272	89	407	88	511	224
1432	61	513	146	1253	88	405	87	511	220
1421	62	511	145	1293	89	406	88	515	221
1414	63	514	142	1273	89	411	88	516	220
1402	62	510	144	1274	89	408	88	525	279
1395	62	513	144	1300	91	406	89	513	219
1395	63	510	149	1286	91	427	87	514	223
1410	62	526	150	1274	90	409	88	519	222
1412	63	509	145	1285	90	408	87	518	220
1409	62	511	147	1278	90	406	88	516	221
1421	62	508	145	1258	92	406	88	511	220
1401	63	511	147	1275	89	406	90	507	221
1402	62	512	148	1280	88	409	89	519	217
1403	62	514	145	1274	89	412	100	515	222
1409	62	506	145	1270	89	409	87	516	223
1416	63	513	144	1270	90	405	88	517	218
1413	61	510	145	1279	89	407	87	514	220
1406	62	510	147	1279	93	407	87	525	222
1415	62	516	142	1275	89	409	87	514	222
1395	63	509	145	1259	89	405	87	513	221
1417	62	508	146	1273	88	406	88	515	228
1398	63	508	146	1271	89	405	89	515	223
1418	62	513	145	1275	89	406	88	543	221
1414	61	512	147	1271	89	413	88	513	223
1401	63	508	147	1250	90	409	87	515	232
1404	63	511	144	1267	89	408	88	515	222
1395	62	509	147	1270	91	409	88	517	221
1408	63	510	146	1275	91	416	99	511	221
1416	63	513	146	1289	89	417	89	516	223
1426	62	521	146	1274	90	410	88	514	221
1437	62	509	144	1269	88	436	88	511	223
1393	62	512	145	1271	89	406	88	510	221
1400	63	505	145	1267	89	408	88	513	220
1433	62	510	143	1278	88	409	89	512	219
1403	63	508	146	1278	89	406	88	511	222
1403	63	510	149	1269	88	416	90	515	225
1417	62	509	146	1282	89	408	88	516	218
1402	64	509	146	1252	89	407	87	514	222
1429	62	512	144	1284	90	406	88	518	222
1399	62	511	151	1275	88	405	87	513	228
1435	63	517	145	1258	88	407	88	518	221
1428	63	508	148	1264	89	405	88	513	222
1400	62	509	146	1271	88	419	89	513	220
1429	62	513	143	1270	89	409	89	514	217
1415	62	525	145	1277	89	412	88	514	219
1398	62	508	146	1268	89	407	88	510	221
1408	62	516	143	1256	89	407	87	513	220
1401	62	510	146	1282	91	404	87	515	218
1419	63	514	151	1281	89	407	88	518	219
1399	62	513	147	1271	89	440	88	512	221
1419	63	513	147	1274	89	406	89	512	217
1426	62	525	147	1281	89	410	89	515	232
1399	62	514	146	1280	88	406	88	528	221
1425	62	513	145	1290	89	408	87	520	219
1402	63	510	148	1274	89	406	87	522	217
1397	61	514	144	1259	88	408	87	519	218
1401	63	512	151	1264	89	410	87	522	264
1398	63	516	148	1276	89	406	87	519	215
1413	62	513	145	1267	89	408	88	522	218
1410	61	513	144	1272	89	409	90	513	218
1398	61	509	145	1261	90	408	87	513	218
1406	62	541	143	1268	89	406	87	516	256
1398	63	517	145	1265	89	407	87	512	216
1420	62	515	148	1272	90	409	92	515	217
1410	63	508	144	1266	88	407	87	514	216
1409	62	511	147	1266	89	406	88	508	222
1397	75	509	146	1273	89	408	88	511	235
1396	62	512	145	1278	88	409	87	512	220
1414	62	518	144	1289	90	409	89	516	218
1435	63	510	146	1277	94	409	88	513	219
1410	64	508	144	1278	91	410	89	516	221
1399	63	511	146	1281	90	413	88	513	220
1414	62	512	149	1289	90	408	87	514	220
1413	62	515	158	1287	89	411	88	512	219
1406	61	513	146	1276	89	404	90	512	220
1396	62	506	146	1291	88	409	89	510	218
1397	63	509	146	1275	89	409	87	516	236
1404	62	511	147	1281	90	405	88	523	219
1413	62	512	147	1280	90	421	89	514	219
1397	62	517	147	1279	90	404	88	510	218
1415	61	507	145	1273	89	405	87	512	219
1399	61	511	146	1290	90	407	87	510	222
1419	63	510	147	1254	89	406	87	527	218
1415	62	514	145	1263	104	405	87	516	219
1424	62	515	148	1272	89	402	87	512	221
1418	62	511	143	1281	89	409	87	513	221
1421	63	509	144	1290	88	406	89	512	223
1425	61	512	143	1279	89	405	87	521	248
1416	62	514	142	1276	88	406	88	542	220
1395	62	512	143	1289	90	406	87	514	220
1401	62	522	146	1279	90	407	89	513	219
1396	63	513	148	1266	89	409	90	509	222
1395	63	508	146	1280	89	409	88	517	215
1430	61	511	145	1292	89	407	87	511	219
1397	62	509	143	1277	88	406	88	510	218
1409	63	507	146	1284	89	404	88	509	223
1415	62	532	145	1273	89	406	87	518	218
1400	63	512	146	1281	90	409	90	523	218
1438	63	512	146	1272	88	410	88	521	221
1394	62	510	147	1294	89	407	89	523	218
1408	62	511	150	1287	88	408	87	520	224
1421	62	507	147	1285	89	405	87	514	221
1395	63	509	144	1279	89	404	88	531	219
1425	62	511	147	1330	88	406	88	514	229
1392	63	510	148	1265	90	405	88	511	221
1399	62	509	148	1275	89	407	89	510	221
1433	62	509	148	1284	89	406	91	515	218
1398	63	514	148	1275	88	426	89	516	220
1429	62	517	148	1271	90	409	88	517	218
1399	63	514	147	1268	88	406	87	517	218
1399	61	509	149	1273	90	410	87	511	220
1410	62	511	145	1267	90	411	88	511	219
